 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
274.948	0.394	-0.329	1.07736369e-08	1.39139286e-09	-3.500373e+01
275.639	0.288	-0.298	1.31686893e-08	1.72241433e-09	-4.331491e+01
276.358	0.433	-0.432	9.2559558e-09	1.15302603e-09	-2.899520e+01
277.176	0.450	-0.385	9.5033562e-09	1.20733587e-09	-3.013228e+01
277.933	0.424	-0.307	1.06590666e-08	1.40797995e-09	-3.463134e+01
278.840	0.391	-0.483	9.2091051e-09	1.19815254e-09	-2.884842e+01
279.709	0.406	-0.478	8.6788338e-09	1.17991029e-09	-2.890248e+01
280.449	0.271	-0.334	1.30539747e-08	1.67464206e-09	-4.189714e+01
281.108	0.461	-0.388	9.3047214e-09	1.21372875e-09	-2.986354e+01
281.883	0.342	-0.314	1.19151708e-08	1.56428181e-09	-3.871241e+01
282.628	0.476	-0.403	8.7315306e-09	1.17183651e-09	-2.907796e+01
283.436	0.322	-0.332	1.21740177e-08	1.57402596e-09	-3.860018e+01
284.187	0.336	-0.429	1.03219428e-08	1.32590718e-09	-3.312820e+01
284.937	0.332	-0.414	1.05929382e-08	1.38781071e-09	-3.399801e+01
285.521	0.289	-0.252	1.47370743e-08	1.93946337e-09	-4.672691e+01
286.128	0.346	-0.318	1.19683278e-08	1.5553707e-09	-3.857725e+01
286.901	0.403	-0.428	9.4147599e-09	1.23039501e-09	-3.058856e+01
287.704	0.383	-0.400	1.02765234e-08	1.29635766e-09	-3.219216e+01
288.463	0.400	-0.376	1.0151739e-08	1.36102044e-09	-3.258422e+01
289.170	0.443	-0.308	1.02342162e-08	1.36699485e-09	-3.379984e+01
290.036	0.371	-0.422	9.8104812e-09	1.25229936e-09	-3.148667e+01
290.760	0.300	-0.353	1.22160441e-08	1.53378849e-09	-3.844066e+01
